codigo_ibge,anomes_s,qtd_familias_beneficiarias_bolsa_familia_s,valor_repassado_bolsa_familia_s,pbf_vlr_medio_benef_f
521210,202504,260,166723.0,641.24
521220,202504,1808,1184128.0,655.3
521225,202504,272,189002.0,700.01
521230,202504,944,659601.0,699.47
521250,202504,22011,14903445.0,677.68
521260,202504,293,189752.0,647.62
521270,202504,1434,989524.0,691.01
521280,202504,1044,692126.0,666.15
521290,202504,199,133945.0,673.09
521295,202504,601,393038.0,653.97
521300,202504,909,597984.0,657.85
521305,202504,346,238094.0,688.13
521308,202504,2223,1437733.0,646.75
521310,202504,4111,2655558.0,648.01
521340,202504,147,92148.0,626.86
521350,202504,1307,928024.0,711.67
521370,202504,478,318393.0,666.09
521375,202504,692,449338.0,649.33
521377,202504,660,449484.0,681.04
521380,202504,1705,1023897.0,607.65
521385,202504,333,220098.0,660.95
521390,202504,271,165436.0,610.46
521400,202504,1677,1131650.0,675.61
521405,202504,525,339288.0,646.26
521410,202504,490,339217.0,692.28
521440,202504,664,425641.0,642.96
521450,202504,2340,1602170.0,684.69
521460,202504,2645,1613858.0,618.81
521470,202504,355,234445.0,660.41
521480,202504,160,98956.0,618.48
521483,202504,1155,795729.0,690.14
521486,202504,841,551661.0,656.74
521487,202504,283,190015.0,671.43
521490,202504,452,294757.0,655.02
521500,202504,1002,636841.0,636.2
521520,202504,418,273002.0,654.68
521523,202504,9299,6340841.0,685.57
521525,202504,545,351712.0,645.34
521530,202504,791,519561.0,660.18
521540,202504,342,230818.0,674.91
521550,202504,393,258350.0,659.06
521560,202504,2949,1991254.0,680.54
521565,202504,273,182354.0,670.42
521570,202504,1696,1154969.0,681.4
521580,202504,205,126580.0,620.49
521590,202504,412,265769.0,645.07
521600,202504,199,132054.0,663.59
521630,202504,545,360502.0,665.13
521640,202504,736,488727.0,664.03
521645,202504,171,107988.0,631.51
521680,202504,762,482849.0,639.54
521690,202504,254,167352.0,658.87
521710,202504,1636,1111136.0,681.68
521720,202504,851,537968.0,633.65
521730,202504,1629,1039083.0,639.04
521740,202504,2053,1282614.0,626.28
521760,202504,11584,7952315.0,686.73
521770,202504,879,524458.0,596.65
521800,202504,3209,2133686.0,664.91
521805,202504,376,245989.0,654.23
521810,202504,388,264630.0,682.04
521830,202504,3990,2661051.0,667.1
521839,202504,432,276936.0,644.04
521850,202504,2210,1429475.0,646.82
521860,202504,681,445433.0,654.09
521870,202504,341,226838.0,665.21
521878,202504,329,213101.0,647.72
521880,202504,12370,7919876.0,642.12
521890,202504,1111,686695.0,621.44
521900,202504,452,297937.0,660.61
521910,202504,545,365257.0,671.43
521920,202504,277,173562.0,626.58
521925,202504,380,258515.0,680.3
521930,202504,2410,1662871.0,690.56
521935,202504,424,279596.0,660.98
521940,202504,591,390758.0,666.82
521945,202504,332,220374.0,663.78
521950,202504,308,202521.0,657.54
521960,202504,300,191668.0,647.53
521970,202504,1407,874953.0,622.3
521971,202504,219,133257.0,608.48
521973,202504,775,511262.0,659.69
521975,202504,8742,5851030.0,671.3
521980,202504,1365,918892.0,673.18
521990,202504,823,552665.0,671.52
522000,202504,1394,956056.0,685.84
522005,202504,134,90429.0,674.84
522010,202504,2032,1307040.0,643.55
522015,202504,614,410570.0,669.77
522020,202504,2448,1640683.0,670.49
522026,202504,298,202015.0,689.47
522028,202504,217,141145.0,650.44
522040,202504,1394,878254.0,631.84
522045,202504,9329,6186641.0,664.8
522050,202504,568,381937.0,672.42
522060,202504,1536,1023645.0,666.44
522068,202504,1045,672785.0,643.81
522070,202504,614,414296.0,674.75
522100,202504,331,213781.0,645.86
522108,202504,896,617063.0,688.69
522119,202504,1173,799409.0,682.67
522130,202504,272,183700.0,675.37
522140,202504,11108,7270564.0,656.07
522145,202504,397,259135.0,652.73
522150,202504,360,220974.0,613.82
522155,202504,488,327347.0,674.94
522157,202504,474,305323.0,644.14
522160,202504,1858,1199526.0,648.39
522170,202504,1632,1087110.0,666.12
522180,202504,236,144401.0,614.47
522185,202504,11467,7617128.0,668.05
522190,202504,329,211087.0,641.6
522200,202504,975,644611.0,663.86
522205,202504,703,458893.0,652.76
522220,202504,590,392553.0,666.47
522230,202504,666,433551.0,651.96
530010,202504,170381,113188156.0,665.92
110001,202503,1675,1125735,679.38
110002,202503,7673,5147242,675.85
110003,202503,304,200712,660.24
110004,202503,5995,3916934,654.02
110005,202503,1216,838735,693.74
110006,202503,496,319909,648.9
110007,202503,284,185159,651.97
110008,202503,2017,1413797,701.64
110009,202503,1636,1026093,628.73
110010,202503,5136,3853895,755.81
110011,202503,3626,2321668,642.59
110012,202503,7757,5155830,666.82
110013,202503,2765,1821832,659.61
110014,202503,1519,939974,619.22
